"codiceOrigine","codiceMeccanografico","descrizione","annoCorsoInizio","durataAnni","terminale","attivo"
"2489","TDBE","TRIENNIO RAGIONIERI PROGRAMMATORI","","","NO","SI"
"2490","TDBF","QUINQUENNIO TURISTICO ""ITER""","","","NO","SI"
"2491","TDBG","TRIENNIO MATEMATICO SCIENTIFICO","","","NO","SI"
"2492","TDBH","TRIENNIO LINGUISTICO LETTERARIO MODERNO","","","NO","SI"
"2493","TDBI","QUINQUENNIO SCIENTIFICO TECNOLOGICO","1","5","SI","SI"
"2494","TDBJ","QUINQUENNIO SCIENTIFICO TECNOLOGICO","","","NO","SI"
"2495","TDBK","PROSECUZIONE LINGUA STRANIERA SEZ.GEOM(3-3-3)","3","3","SI","SI"
"2496","TDBL","PERITI AZIENDALI E CORRISPONDENTI IN LINGUE ESTERE SPER.","","","NO","SI"
"2497","TDBM","TERMOTECNICA ""ERGON""","","","NO","SI"
"2498","TDBN","ORGANICO FUNZIONALE - TNTD00701X","","","NO","SI"
"2499","TDBP","ORGANICO FUNZIONALE - TNTD00301L","","","NO","SI"
"2500","TDBQ","ORGANICO FUNZIONALE - TNTD00401C","","","NO","SI"
"2501","TDBR","ORGANICO FUNZIONALE - TNTD00801Q","","","NO","SI"
"2502","TDBS","LINGUISTICO","","","NO","SI"
"2503","TDBW","TRIENNIO RIENTRI FORMATIVI INDIRIZZO TURISTICO SIRIO SERALE","","","NO","SI"
"2504","TDBX","TRIENNIO RIENTRI FORMATIVI INFORMATICA GESTIONALE SIRIO SERALE","","","NO","SI"
"2505","TDBY","SEZIONE AERONAUTICA NAVIGAZIONE AEREA","","","NO","SI"
"2506","TDBZ","SEZIONE AERONAUTICA ASSISTENZA NAVIGAZIONE AEREA","","","NO","SI"
"2507","TDEC","INDIRIZZO GIURIDICO ECONOMICO AZIENDALE ""IGEA""","","","NO","SI"
"2508","TDEG","BIENNIO (NUOVI PROGRAMMI)","1","2","NO","SI"
"2509","TDHA","QUINQUENNIO INFORMATICO E TELECOMUNICAZIONI","","","NO","SI"
"2510","TDHB","QUINQUENNIO ECONOMICO AZIENDALE","","","NO","SI"
"2511","TDHC","QUINQUENNIO SOCIO-PSICOPEDAGOGICO","","","NO","SI"
"2512","TDHD","QUINQUENNIO LINGUISTICO","","","NO","SI"
"2513","TDHH","QUINQUENNIO SCIENTIFICO","","","NO","SI"
"2514","TDHP","QUINQUENNIO LINGUISTICO AZIENDALE","","","NO","SI"
"2515","TDHV","QUINQUENNIO CHIMICO","","","NO","SI"
"2516","TDS1","COMMERCIALE LINGUISTICO - COTD06000L","","","NO","SI"
"2517","TDS2","CHIMICO BIOLOGICO AMBIENTALE - COTD06000L","","","NO","SI"
"2518","TDS3","TRIENNIO LINGUISTICO  NATD11000T","","","NO","SI"
"2519","TDS4","LINGUISTICO","","","NO","SI"
"2520","TDSA","QUINQUENNIO LINGUISTICO MODERNO - BATD050006","","","NO","SI"
"2521","TDSB","TRIENNIO COMMERCIALE AMMINISTRATIVO - BGTD06000T","","","NO","SI"
"2522","TDSC","BIENNIO","","","NO","SI"
"2523","TDSI","BIENNIO","","","NO","SI"
"2524","TDSJ","LINGUISTICO MODERNO - MITD330007","","","NO","SI"
"2525","TDSK","GRAFICO VISIVO - MITD450009","","","NO","SI"
"2526","TDSL","CHIMICO BIOLOGICO - MITD330007","","","NO","SI"
"2527","TDSM","EDILE - MITD450009","","","NO","SI"
"2528","TDSN","ELETTRONICO INFORMATICO - MITD450009","","","NO","SI"
"2529","TDSO","SOCIALE - MITD450009","","","NO","SI"
"2530","TDSP","ECONOMICO AMMINISTRATIVO - MITD330007","","","NO","SI"
"2531","TDST","BIENNIO - PITD06000L","","","NO","SI"
"2532","TDSU","COMMERCIALE - PITD06000L","","","NO","SI"
"2533","TDSV","LINGUISTICO - PITD06000L","","","NO","SI"
"2534","TDSW","BIENNIO - MITD37000N","","","NO","SI"
"2535","TDSX","COSTRUTTIVO - MITD37000N","","","NO","SI"
"2536","TDSY","TECNICO DI LABORATORIO CHIMICO BIOLOGICO - MITD37000N","","","NO","SI"
"2537","TDSZ","LINGUISTICO - GIURIDICO ECONOMICO","","","NO","SI"
"2538","TDT0","QUINQUENNIO LINGUISTICO - PSTD040007","","","NO","SI"
"2539","TDT1","BIENNIO - MITD210005","","","NO","SI"
"2540","TDT2","LINGUISTICO MODERNO - MITD210005","","","NO","SI"
"2541","TDTE","BIENNIO - SPTD03000D","","","NO","SI"
"2542","TDTG","INFORMATICO ELETTRONICO - SPTD03000D","","","NO","SI"
"2543","TDTH","LINGUISTICO LETTERARIO - SPTD03000D","","","NO","SI"
"2544","TDTK","BIENNIO - BSTD13000B","","","NO","SI"
"2545","TDTO","BIENNIO UNICO ORIENTANTE","","","NO","SI"
"2546","TDTT","LINGUISTICO MODERNO","","","NO","SI"
"2547","TDTU","BIENNIO  FITD06000T","","","NO","SI"
"2548","TDTV","BIENNIO","","","NO","SI"
"2549","TDU1","EDILIZIA","","","NO","SI"
"2550","TDU3","INDIRIZZO GENERALE ISTITUTO TURISMO","","","NO","SI"
"2551","TDUE","QUINQUENNIO COSTRUZIONI SEZ. GEOMETRI","1","5","SI","SI"
"2552","TDUF","QUINQUENNIO LINGUISTICO MODERNO","","","NO","SI"
"2553","TDUH","QUINQUENNIO LINGUISTICO","","","NO","SI"
"2554","TDUI","SCIENTIFICO","","","NO","SI"
"2555","TDUP","MODIFICA MATEMATICA E FISICA SEZ. GEOMETRI - BIENNIO (P.N.I.)","1","2","NO","SI"
"2556","TDUQ","MODIFICA MATEMATICA SEZ. GEOMETRI - BIENNIO (P.N.I.)","1","2","NO","SI"
"2557","TDUR","MODIFICA MATEMATICA E FISICA SEZ. PERITI AZ.LI - BIENNIO (P.N.I.)","","","NO","SI"
"2558","TDUV","MODIFICA FISICA SEZ. GEOMETRI - BIENNIO (P.N.I.)","","","NO","SI"
"2559","TDUY","INDIRIZZO LINGUISTICO AZIENDALE ""ERICA""","1","5","SI","SI"
"2560","TDUZ","MODIFICA MATEMATICA SEZ.GEOMETRI-BIENNIO E TRIENNIO(P.N.I.)","3","3","SI","SI"
"2561","TDV5","BIENNIO LINGUISTICO MODERNO","","","NO","SI"
"2562","TDVA","ELETTROTECNICA - AUTOMAZIONE","","","NO","SI"
"2563","TDVB","LINGUISTICO CLASSICO - MITD400008","","","NO","SI"
"2564","TDVD","SOCIO-PEDAGOGICO - MITD400008","","","NO","SI"
"2565","TDVE","INFORMATICO-ELETTRONICO - MITD400008","","","NO","SI"
"2467","TDAK","BIENNIO RIENTRI FORMATIVI - MNTD02000E","","","NO","SI"
"2375","SMAM","QUINQUENNIO AUTONOMIA ""LINGUISTICO""","","","NO","SI"
"2376","SMAN","QUINQUENNIO AUTONOMIA ""SCIENTIFICO""","","","NO","SI"
"2377","SMAP","QUINQUENNIO AUTONOMIA ""SCIENT.TECNOLOGICO""","","","NO","SI"
"2378","SMAQ","PEDAGOGICO SOCIALE 1 ""C.M. 27/91""","","","NO","SI"
"2379","SMAR","SCIENTIFICO TECNOLOGICO ""COMMISSIONE BROCCA""","","","NO","SI"
"2380","SMAS","LINGUISTICO C.M. 27/91","","","NO","SI"
"2473","TDAR","BIENNIO   RIENTRI FORMATIVI AMMINISTRATIVO-MTTD01000A","","","NO","SI"
"2575","TDVT","SETTORE AMMINISTRATIVO - MITD210005","","","NO","SI"
"2576","TF01","ARTI FOTOGRAFICHE","","","NO","SI"
"2577","TF02","ARTI GRAFICHE","","","NO","SI"
"2578","TF03","CHIMICA CONCIARIA","","","NO","SI"
"2579","TF05","CHIMICA NUCLEARE","","","NO","SI"
"2580","TF07","COSTRUZIONI AERONAUTICHE","","","NO","SI"
"2581","TF08","DISEGNO DI TESSUTI","","","NO","SI"
"2582","TF09","EDILIZIA","","","NO","SI"
"2482","TDB1","BIENNIO INTEGRATO RIENTRI FORMATIVI SIRIO","","","NO","SI"
"2390","SMSL","BIENNIO SOC.PS.PEDAGOGICO (D) COMMISSIONE BROCCA","","","NO","SI"
"2391","SMSM","PEDAGOGICO - PNPQ01000D","","","NO","SI"
"2392","SMSP","BIENNIO SCIENTIFICO TECNOLOGICO (D) COMMISSIONE BROCCA","","","NO","SI"
"2393","SMSS","PEDAGOGICO - TNPQ010004","","","NO","SI"
"2394","SMST","LINGUISTICO - RMPQ010009","","","NO","SI"
"2395","SMSU","PEDAGOGICO - RMPQ010009","","","NO","SI"
"2396","TA01","NAVIGAZIONE AEREA","","","NO","SI"
"2398","TA03","PERITO TECNICO PER IL TRASPORTO AEREO - CTTB01000A","","","NO","SI"
"2399","TA04","PERITO TECNICO PER IL TRASPORTO AEREO - FOTB010003","","","NO","SI"
"2400","TA07","NAVIGAZIONE AEREA ED ASSISTENZA ALLA NAVIGAZIONE AEREA-RMTB010001","","","NO","SI"
"2401","TD03","PER GEOMETRI","1","5","SI","SI"
"2402","TD05","RAGIONIERI PROGRAMMATORI","1","5","SI","SI"
"2403","TD10","ARTI GRAFICHE EDITORIALI E PUBBLICITARIE - MITD210005","","","NO","SI"
"2404","TD11","QUINQUENNIO LINGUISTICO MODERNO - ANTD040001","","","NO","SI"
"2405","TD12","GRAFICO ARTISTICO - MITD27000R","","","NO","SI"
"2406","TD17","CHIMICO SPERIMENTALE - MITD330007","","","NO","SI"
"2407","TD18","TRIENNIO LINGUISTICO MODERNO - PZTD010007","","","NO","SI"
"2408","TD19","BIENNIO  -  TNTD100001","1","2","NO","SI"
"2409","TD21","PROSECUZIONE LINGUA STRANIERA SEZIONE GEOMETRI","","","NO","SI"
"2410","TD22","PROSECUZIONE LINGUA STRANIERA SEZIONE GEOMETRI 1","","","NO","SI"
"2411","TD25","QUINQUENNIO LINGUISTICO","","","NO","SI"
"2412","TD35","TRIENNIO AREA COMUNE","","","NO","SI"
"2413","TD36","TRIENNIO AREA COMUNE","","","NO","SI"
"2414","TD37","TRIENNIO AREA COMUNE","","","NO","SI"
"2415","TD38","TRIENNIO AREA COMUNE","","","NO","SI"
"2416","TD39","AMMINISTRATIVO BROCCA LINGUA TEDESCA","","","NO","SI"
"2417","TD40","QUINQUENNIO LINGUISTICO","","","NO","SI"
"2418","TD41","QUINQUENNIO LINGUISTICO","","","NO","SI"
"2419","TD43","II LINGUA INGLESE QUINQUENNIO LINGUISTICO AZIENDALE","","","NO","SI"
"2420","TD44","II LINGUA INGLESE QUINQUENNIO ECONOMICO AZIENDALE","","","NO","SI"
"2421","TD45","MECCANICA (NUOVI PROGRAMMI)","3","3","SI","SI"
"2422","TD56","MODIFICA MATEM. E FISICA SEZ.GEOMETRI(P.N.I.)-BIENNIO E TRIENNIO","","","NO","SI"
"2423","TD58","PERITI AZIENDALI E CORRISPONDENTI IN LINGUA ESTERA -","","","NO","SI"
"2424","TD6","PERITI AZIENDALI","","","NO","SI"
"2425","TD60","QUINQUENNIO SCIENTIFICO BROCCA","1","5","SI","SI"
"2426","TD61","PERITI AZIENDALI E CORRISPONDENTI IN LINGUE ESTERE -","","","NO","SI"
"2427","TD64","INDIRIZZO LINGUISTICO AZIENDALE","","","NO","SI"
"2428","TD73","INDIRIZZO GIURIDICO ECONOMICO AZIENDALE ""IGEA""","1","5","SI","SI"
"2429","TD74","INDIRIZZO LINGUISTICO AZIENDALE ""ERICA""","","","NO","SI"
"2430","TD75","BIENNIO RIENTRI FORMATIVI SIRIO - INDIRIZZO GIUR.ECON.AZIEND.","1","2","NO","SI"
"2431","TD8","MODIFICA MATEMATICA SEZ. PERITI AZIENDALI - BIENNIO (P.N.I.)","","","NO","SI"
"2432","TD80","QUINQUENNIO ECONOMICO AZIENDALE","","","NO","SI"
"2433","TD82","BIENNIO RIENTRI FORMATIVI SIRIO - INDIRIZZO GEOMETRI","1","2","NO","SI"
"2434","TD85","INDIRIZZO GIURIDICO ECONOMICO AZ.BOLZ.IT.","","","NO","SI"
"2435","TD87","TRIENNIO RIENTRI FORMATIVI SIRIO - IND.GIUR.ECON.AZ.LE","3","3","SI","SI"
"2436","TD88","RAGIONIERI PROGRAMMATORI - PROSECUZIONE 1' LINGUA STRANIERA","","","NO","SI"
"2437","TD90","TRIENNIO RIENTRI FORMATIVI INDIRIZZO PERITI AZIENDALI","","","NO","SI"
"2438","TD91","SPERIMENTALE EDILE TERRITORIALE AMBIENTE ""CINQUE""","1","5","SI","SI"
"2439","TD92","SEZIONE SPERIMENTALE GEOMETRI - MCTD030004","","","NO","SI"
"2440","TD97","PROGRAMMATORI ""MERCURIO""","1","5","SI","SI"
"2441","TD98","TECNOLOGIE TELEMATICHE E MULTIMEDIALI","","","NO","SI"
"2442","TD9C","INDIRIZZO GIURIDICO ECONOMICO AZIENDALE ""IGEA""","1","5","SI","SI"
"2443","TD9E","AMMINISTRATIVO - ALTERNANZA SCUOLA - LAVORO","","","NO","SI"
"2444","TD9G","MOD. FISICA SEZ. GEOMETRI (P.N.I.) BIENNIO E TRIENNIO","","","NO","SI"
"2445","TD9H","TRIENNIO RIENTRI FORMATIVI SIRIO - INDIRIZZO GEOMETRI","3","3","SI","SI"
"2446","TD9K","BIENNIO INTEGRATO RIENTRI FORMATIVI RELAZIONI COMMERCIALI SIRIO","","","NO","SI"
"2447","TD9Q","MOD. MATEMATICA SEZ.PERITI AZ.LI-BIENNIO E TRIENNIO(P.N.I.)","","","NO","SI"
"2448","TDA1","DIRIGENTI DI COMUNITA'","","","NO","SI"
"2449","TDA2","BIENNIO - RIENTRI FORMATIVI","","","NO","SI"
"2450","TDA3","PROGETTO NAUTILUS-BIENNIO","","","NO","SI"
"2451","TDA4","INDIRIZZO SPERIMENTALE EDILE TERRITORIALE","","","NO","SI"
"2452","TDA5","INDIR.SPER.IND.E TERZ.AVANZ.TECNOL.INFORM. E DELLA COMUNICAZIONE","","","NO","SI"
"2453","TDA6","QUINQUENNIO LINGUISTICO AZIENDALE","","","NO","SI"
"2454","TDA7","INDIRIZZO SPER.SERV. E TERZ. AVANZ.TURISTICO","","","NO","SI"
"2455","TDA8","INDIRIZZO SPER.SERV. E TERZ. AVANZATO AMMINISTRAZIONE E CONTROLLO","","","NO","SI"
"2456","TDA9","INDIRIZZO SPER.SERV.E TERZ.AVANZ.COMUNICAZIONE E MARKETING","","","NO","SI"
"2457","TDAA","INFORMATICA","","","NO","SI"
"2458","TDAB","INDIR.SPERIM.IND.E TERZ.AVANZ.ELETTROTECNICA ED AUTOMAZIONE","","","NO","SI"
"2459","TDAC","QUINQUENNIO ECONOMICO AZIENDALE","","","NO","SI"
"2460","TDAD","QUINQUENNIO COSTRUZIONI SEZ. GEOMETRI","","","NO","SI"
"2461","TDAE","TRIENNIO GEOMETRI SERALE","","","NO","SI"
"2462","TDAF","QUINQUENNIO LINGUISTICO AZIENDALE","1","5","SI","SI"
"2374","SMAL","INDIRIZZI AUTONOMI ""SCIENZE SOCIALI""","","","NO","SI"
"2463","TDAG","INFORMATICA ""ABACUS""","3","3","SI","SI"
"2464","TDAH","TERMOTECNICA","","","NO","SI"
"2465","TDAI","INDIRIZZO AGRARIO GENERALE","","","NO","SI"
"2466","TDAJ","INDIRIZZO ""CERERE UNITARIO"" MODULO AGRO-INDUSTRIALE","","","NO","SI"
"2277","SDCR","ARTI DELLA GRAFICA PUBBLICITARIA,GRAFICA CINETICA E FOTOGRAFIA","1","5","SI","SI"
"2278","SDCT","ARTI E TECNICHE SCENICHE","","","NO","SI"
"2279","SDCU","ARTE E CONSERVAZIONE DEL TESSUTO, TAPPETO E ARAZZO","","","NO","SI"
"2280","SDCV","SCIENZE NATURALI CHIMICA E GEOGR.(LABORATORIO CHIMICA)","3","3","NO","SI"
"2281","SDCW","P.N.I. TIPO E","","","NO","SI"
"2282","SDCX","ARTE E RESTAURO DELL'ORO E DEI METALLI PREZIOSI-MICH. 2","","","NO","SI"
"2381","SMAT","LINGUISTICO ""COMMISSIONE BROCCA""","","","NO","SI"
"2474","TDAS","CHIMICO (NUOVI PROGRAMMI)","","","NO","SI"
"2475","TDAT","QUINQUENNIO LINGUISTICO","","","NO","SI"
"2476","TDAU","QUINQUENNIO  INFORMATICO - TELECOMUNICAZIONI","","","NO","SI"
"2477","TDAV","QUINQUENNIO BIOLOGICO","","","NO","SI"
"2478","TDAW","GEOMETRI ""CINQUE""","","","NO","SI"
"2479","TDAX","INTRODUZIONE II LINGUA SEZ. GEOM.","1","5","SI","SI"
"2017","RRJC","MONOENNIO OPERATORE MECCANICO - NUOVO ORDINAMENTO -IB","","","NO","SI"
"2018","RRJD","MONOENNIO OPERATORE TERMICO -NUOVO ORDINAMENTO-IB","","","NO","SI"
"2019","RRJE","BIENNIO MECCANICO TERMICO-NUOVO ORDINAMENTO-IB","","","NO","SI"
"2020","RRJF","TECNICO CHIMICO E BIOLOGICO - BOLZANO ITALIANA","","","NO","SI"
"2021","RRJG","TECNICO DELLE INDUSTRIE ELETTRICHE - NUOVO ORDINAMENTO- IB","","","NO","SI"
"2022","RRJH","TECNICO DELLE INDUSTRIE ELETTRONICHE -NUOVO ORDINAMENTO-IB","","","NO","SI"
"2023","RRJI","TECNICO DEI SISTEMI ENERGETICI -NUOVO ORDINAMENTO-IB","","","NO","SI"
"2024","RRJL","ODONTOTECNICO BIENNIO POST-QUALIFICA NUOVO ORDINAMENTO -SERALE","","","NO","SI"
"2025","RRJM","MONOENNIO ORAFO","","","NO","SI"
"2026","RRJN","MONOENNIO OPERATORE DI LIUTERIA","","","NO","SI"
"2027","RRJP","MONOENNIO OPERATORE DELL'INDUSTRIA MOLITORIA","","","NO","SI"
"2028","RRJQ","MONOENNIO OPERATORE DELL'INDUSTRIA DOLCIARIA","","","NO","SI"
"2029","RRJR","MONOENNIO OPERATORE DELL'INDUSTRIA DEL MOBILE E DELL'ARREDAMENTO","","","NO","SI"
"2030","RRK3","BIENNIO ECONOMICO-AZIENDALE E TURISTICO -NUOVO ORDIN.-IB","","","NO","SI"
"2031","RRK4","MONOENNIO OPERATORE GESTIONE AZIENDALE-NUOVO ORDIN.-IB","","","NO","SI"
"2032","RRK5","MONOENNIO OPERATORE IMPRESA TURISTICA-NUOVO ORDIN.-IB","","","NO","SI"
"2033","RRK6","ODONTOTECNICO -NUOVO ORDINAMENTO - BOLZANO ITALIANA","","","NO","SI"
"2034","RRK7","ODONTOTECNICO BIENNIO POST-QUALIFICA-NUOVO ORDIN.-IB","","","NO","SI"
"2035","RRK8","BIENNIO ELETTRICO ED ELETTRONICO -NUOVO ORDINAMENTO-IB","","","NO","SI"
"2036","RRK9","MONOENNIO OPERATORE ELETTRICO -NUOVO ORDINAMENTO -IB","","","NO","SI"
"2037","RRKA","TECNICO DEI SISTEMI ENERGETICI - BOLZANO LINGUA TEDESCA","","","NO","SI"
"2038","RRKB","TECNICO INDUSTRIE MECCANICHE -NUOVO ORDIN.-BOLZANO LINGUA TEDESCA","","","NO","SI"
"2039","RRKC","TECNICO INDUSTRIE ELETTRONICHE -NUOVO ORDIN.- BOLZANO TEDESCA","","","NO","SI"
"2040","RRKE","TECNICO DEI SERVIZI TURISTICI - BOLZANO LINGUA TEDESCA","","","NO","SI"
"2041","RRKF","TECNICO DEI SERVIZI SOCIALI - BOLZANO LINGUA TEDESCA","","","NO","SI"
"2042","RRKG","TECNICO DELLA GESTIONE AZIENDALE - BOLZANO LINGUA TEDESCA","","","NO","SI"
"2043","RRKH","BIENNIO ECONOMICO-AZIENDALE E TURISTICO -NUOVO ORDIN.- TB","","","NO","SI"
"2044","RRKI","MONOENNIO OPERATORE IMPRESA TURISTICA-NUOVO ORD.-TB","","","NO","SI"
"2045","RRKK","INDIRIZZO GIURIDICO ECONOMICO AMMINISTRATIVO - IGEA BOLZ. LADINA","","","NO","SI"
"2046","RRKL","MONOENNIO OPERATORE GESTIONE AZIENDALE -NUOVO ORDIN.-TB","","","NO","SI"
"2047","RRKM","MONOENNIO OPERATORE DEI SERVIZI SOCIALI -BOLZANO LINGUA TEDESCA","","","NO","SI"
"2048","RRKN","BIENNIO PUBBLICITA' - NUOVO ORDINAMENTO - BOLZANO LINGUA TEDESCA","","","NO","SI"
"2049","RRKP","MONOENNIO OPERATORE GRAFICO-PUBBLICITARIO - NUOVO ORDIN.-TB","","","NO","SI"
"2050","RRKQ","BIENNIO ELETTRICO ED ELETTRONICO-NUOVO ORDINAMENTO-TB","","","NO","SI"
"2051","RRKR","MONOENNIO OPERATORE ELETTRICO -NUOVO ORDINAMENTO-TB","","","NO","SI"
"2052","RRKS","MONOENNIO OPERATORE ELETTRONICO -NUOVO ORDINAMENTO-TB","","","NO","SI"
"2053","RRKT","MONOENNIO OPERATORE PER TELECOMUNICAZIONI -NUOVO ORDIN.-TB","","","NO","SI"
"2054","RRKU","BIENNIO MECCANICO TERMICO -NUOVO ORDINAMENTO-BOLZANO TEDESCA","","","NO","SI"
"2055","RRKV","MONOENNIO OPERATORE TERMICO -NUOVO ORDINAMENTO- BOLZANO TEDESCA","","","NO","SI"
"2056","RRKZ","MONOENNIO OPERATORE MECCANICO -NUOVO ORDINAMENTO- BOLZANO TEDESCA","","","NO","SI"
"2057","RRL0","MONOENNIO OPERATORE DELLA MODA SERALE","","","NO","SI"
"2058","RRLA","BIENNIO SERVIZI ALBERGHIERI E DELLA RISTORAZIONE","","","NO","SI"
"2059","RRLB","TECNICO DELLA GESTIONE AZIENDALE LINGUA SLOVENA","","","NO","SI"
"2060","RRLD","TECNICO CHIMICO E BIOLOGICO LINGUA SLOVENA","","","NO","SI"
"2061","RRLE","BIENNIO AGRARIO SERALE","","","NO","SI"
"2062","RRLF","MONOENNIO OPERATORE AGROAMBIENTALE SERALE","","","NO","SI"
"2063","RRLG","MONOENNIO OPERATORE AGRO-INDUSTRIALE-SERALE","","","NO","SI"
"2064","RRLH","BIENNIO ECONOMICO AZIENDALE E TURISTICO SERALE","1","2","NO","SI"
"2065","RRLI","MONOENNIO OPERATORE GESTIONE AZIENDALE-SERALE","3","1","SI","SI"
"2066","RRLL","MONOENNIO OPERATORE IMPRESA TURISTICA SERALE","3","1","SI","SI"
"2067","RRLM","BIENNIO MECCANICO TERMICO SERALE","","","NO","SI"
"2068","RRLN","MONOENNIO OPERATORE MECCANICO SERALE","","","NO","SI"
"2069","RRLO","MONOENNIO OPERATORE TERMICO SERALE","","","NO","SI"
"2070","RRLP","BIENNIO ELETTRICO ED ELETTRONICO SERALE","","","NO","SI"
"2071","RRLQ","MONOENNIO OPERATORE ELETTRICO SERALE","","","NO","SI"
"2072","RRLR","MONOENNIO OPERATORE ELETTRONICO INDUSTRIALE-SERALE","","","NO","SI"
"1990","RRFY","TECNICO DELLA GESTIONE AZIENDALE LINGUA STRANIERA SERALE","4","2","SI","SI"
"1901","RRAN","MONOENNIO OPERATORE DELL'INDUSTRIA DEL MARMO","","","NO","SI"
"1902","RRAP","TECNICO DELL'INDUSTRIA DEL MOBILE E DELL'ARREDAMENTO","","","NO","SI"
"1903","RRAQ","TECNICO DI LIUTERIA","","","NO","SI"
"1904","RRAR","TECNICO DEL MARMO","","","NO","SI"
"1905","RRAS","TECNICO DELL'INDUSTRIA GRAFICA","","","NO","SI"
"1906","RRAT","MONOENNIO OPERATORE DELL'ARTIGIANATO DEL MARMO","","","NO","SI"
"1907","RRAU","TECNICO DELL'INDUSTRIA ORAFA","","","NO","SI"
"1998","RRGT","BIENNIO MARMO","","","NO","SI"
"2081","RRMA","OTTICO I - NUOVO ORDINAMENTO","","","NO","SI"
"2082","RRMB","ODONTOTECNICO I - NUOVO ORDINAMENTO","4","2","SI","SI"
"2083","RRMC","TECNICO DELLA GESTIONE AZIENDALE LINGUA STRANIERA -IB","","","NO","SI"
"2084","RRMD","TECNICO DEI SERVIZI TURISTICI - BOLZANO ITALIANO","","","NO","SI"
"2085","RRME","TECNICO INDUSTRIE MECCANICHE -NUOVO ORDINAMENTO- BOLZANO ITALIANA","","","NO","SI"
"2086","RRMF","MONOENNIO OPERATORE CHIMICO-BIOLOGICO - BOLZANO ITALIANO","","","NO","SI"
"2006","RRHL","TECNICO DEI SERVIZI TURISTICI - SERALE","4","2","SI","SI"
"1917","RRB4","ORGANICO FUNZIONALE - A002 - IBRI003018","","","NO","SI"
"1918","RRB5","ORGANICO FUNZIONALE - KRRC03000V - A034","","","NO","SI"
"1919","RRB8","ADDETTO ALLA PASTICCERIA E INDUSTRIA DOLCIARIA","","","NO","SI"
"1920","RRBA","TECNICO DELL'INDUSTRIA AUDIOVISIVA","","","NO","SI"
"1921","RRBB","ORGANICO FUNZIONALE-CARI010002","","","NO","SI"
"1922","RRBC","ORGANICO FUNZIONALE - TNRC00951N","","","NO","SI"
"1923","RRBD","ORGANICO FUNZIONALE - TNRC009018","","","NO","SI"
"1924","RRBE","ORGANICO FUNZIONALE-FORH002012","","","NO","SI"
"1925","RRBG","ORGANICO FUNZIONALE-LERA00102G","","","NO","SI"
"1926","RRBH","TECNICO DELLA GESTIONE AZIENDALE INFORMATICA SERALE","4","2","SI","SI"
"1927","RRBI","TECNICO DELLA GESTIONE AZIENDALE INFORMATICA - BOLZANO ITALIANA","","","NO","SI"
"1928","RRBJ","TECNICO DELLA GESTIONE AZIENDALE INFORMATICA - BOLZANO TEDESCA","","","NO","SI"
"1929","RRBK","TECNICO DEL MARMO - MSRI020007","","","NO","SI"
"1930","RRBL","ORGANICO FUNZIONALE-RMRI05000Q","","","NO","SI"
"1931","RRBM","ORGANICO FUNZIONALE-PSRI02000B","","","NO","SI"
"1932","RRBN","TECNICO DEL MARE","","","NO","SI"
"1933","RRBP","MONOENNIO OPERATORE DEI SERVIZI SOCIALI","3","1","SI","SI"
"1934","RRBQ","TRIENNIO ECONOMICO AZIENDALE  FIRC070005","","","NO","SI"
"2673","TFD6","TRIENNIO RIENTRI FORMATIVI MECCANICA - SIRIO","3","3","SI","SI"
"2771","TLAS","BIENNIO RIENTRI FORMATIVI IND.GIUR.ECON.AZIEN.SIRIO SER.","","","NO","SI"
"2780","TLSK","MODIFICA MATEMATICA E FISICA - BIENNIO (P.N.I.)","","","NO","SI"
"2874","TT07","INDIRIZZO GENERALE","","","NO","SI"
"2875","TT08","INDIRIZZO GENERALE - PATN01000Q","","","NO","SI"
"2876","TT10","INDIRIZZO GENERALE","","","NO","SI"
"2877","TT11","INDIRIZZO GENERALE - VETN01000N","","","NO","SI"
"2878","TTA4","MODIFICA MATEMATICA BIENNIO - P.N.I.","","","NO","SI"
"2879","TTAA","QUINQUENNIO TURISTICO","","","NO","SI"
"2880","TTAB","INDIRIZZO SPER.SERV.E TERZ.AVANZATO TURISTICO","","","NO","SI"
"2881","TTAC","QUINQUENNIO TURISTICO ""ITER""","","","NO","SI"
"2882","TTAD","BIENNIO RIENTRI FORMATIVI INDIRIZZO TURISTICO SIRIO SERALE","","","NO","SI"
"2683","TFDV","TERMOTECNICA ""ERGON""","","","NO","SI"
"2684","TFDZ","INDIRIZZO SPER.INDUSTRIA E TERZ.AVANZ.MECCANICA","","","NO","SI"
"2685","TFE3","BIENNIO INTEGRATO RIENTRI FORM. IND. IND.LE - SIRIO","","","NO","SI"
"2686","TFE4","INDIRIZZO BIOLOGICO - PATF02000P","","","NO","SI"
"2687","TFE5","INDIRIZZO AMBIENTALE - PATF02000P","","","NO","SI"
"2688","TFEA","BIENNIO (NUOVI PROGRAMMI)","1","2","NO","SI"
"2689","TFED","INFORMATICA SPERIMENTALE - CNTF03000A","","","NO","SI"
"2690","TFEH","TRIENNIO AREA COMUNE","","","NO","SI"
"2691","TFEK","SEZIONE AERONAUTICA ASSISTENZA NAVIGAZIONE AEREA","","","NO","SI"
"2692","TFEQ","QUINQUENNIO SCIENTIFICO TECNOLOGICO","1","5","SI","SI"
"2693","TFER","MODIFICA FISICA BIENNIO SEZ.GEOMETRI P.N.I.","","","NO","SI"
